Date,Production_nette,Consommation_Finale,Solde_Import-Export
2000-01,5415,5128,59
2000-02,4880,4668,141
2000-03,5072,4737,12
2000-04,4621,4093,-194
2000-05,6256,4119,-1822
2000-06,6100,3895,-1927
2000-07,5012,3832,-870
2000-08,4661,3917,-432
2000-09,4798,4065,-429
2000-10,5825,4439,-1038
2000-11,5563,4694,-530
2000-12,5171,4786,-40
2001-01,5566,5165,-52
2001-02,5193,4607,-238
2001-03,5629,4869,-403
2001-04,5289,4359,-574
2001-05,6456,4181,-1955
2001-06,6443,4001,-2157
2001-07,6534,3966,-2247
2001-08,6132,4003,-1810
2001-09,5415,4195,-906
2001-10,5428,4396,-688
2001-11,5136,4881,97
2001-12,5006,5126,489
2002-01,4897,5403,871
2002-02,4205,4602,745
2002-03,4734,4742,356
2002-04,4667,4367,57
2002-05,5755,4231,-1200
2002-06,5804,4080,-1433
2002-07,5998,3997,-1677
2002-08,5271,3996,-957
2002-09,5328,4220,-792
2002-10,4923,4629,68
2002-11,5574,4774,-456
2002-12,5437,4988,-90
2003-01,5725,5360,-3
2003-02,5311,5003,70
2003-03,4823,4860,394
2003-04,4730,4371,-1
2003-05,5872,4142,-1413
2003-06,5802,4202,-1300
2003-07,6193,4101,-1760
2003-08,5042,4108,-607
2003-09,4854,4237,-300
2003-10,5064,4736,42
2003-11,4465,4850,735
2003-12,4492,5152,1031
2004-01,4987,5408,786
2004-02,4525,4958,808
2004-03,5186,5161,354
2004-04,4525,4414,251
2004-05,5366,4316,-720
2004-06,5518,4232,-984
2004-07,6087,4113,-1641
2004-08,4970,4178,-460
2004-09,4819,4322,-174
2004-10,4961,4660,63
2004-11,5172,5020,211
2004-12,4974,5389,803
2005-01,4998,5538,914
2005-02,5156,5141,374
2005-03,5014,5130,493
2005-04,4079,4568,864
2005-05,4477,4350,206
2005-06,4422,4337,225
2005-07,4528,4220,34
2005-08,4120,4232,449
2005-09,4877,4430,-116
2005-10,4580,4706,494
2005-11,4569,5084,883
2005-12,4467,5594,1530
2006-01,4504,5760,1644
2006-02,4320,5146,1216
