Date,Importation,Exportation
2000-01,2580,2521
2000-02,2478,2337
2000-03,2608,2596
2000-04,2181,2375
2000-05,1212,3034
2000-06,1023,2950
2000-07,1725,2595
2000-08,1660,2092
2000-09,2129,2558
2000-10,2035,3073
2000-11,2084,2614
2000-12,2615,2655
2001-01,2686,2738
2001-02,2245,2483
2001-03,2326,2729
2001-04,1851,2425
2001-05,1092,3047
2001-06,963,3120
2001-07,1070,3317
2001-08,956,2766
2001-09,1986,2892
2001-10,2412,3100
2001-11,2946,2849
2001-12,3563,3074
2002-01,3721,2850
2002-02,3231,2486
2002-03,2886,2530
2002-04,2625,2568
2002-05,1743,2943
2002-06,1404,2837
2002-07,1605,3282
2002-08,1432,2389
2002-09,1919,2711
2002-10,2641,2573
2002-11,1944,2400
2002-12,2649,2739
2003-01,2857,2860
2003-02,2722,2652
2003-03,3278,2884
2003-04,2881,2882
2003-05,1545,2958
2003-06,1705,3005
2003-07,1644,3404
2003-08,2002,2609
2003-09,2359,2659
2003-10,2700,2658
2003-11,3016,2281
2003-12,3375,2344
2004-01,3248,2462
2004-02,2983,2175
2004-03,2661,2307
2004-04,2283,2032
2004-05,1541,2261
2004-06,1334,2318
2004-07,1184,2825
2004-08,1578,2038
2004-09,2164,2338
2004-10,2295,2232
2004-11,2681,2470
2004-12,3104,2301
2005-01,3644,2730
2005-02,3361,2987
2005-03,3447,2954
2005-04,3620,2756
2005-05,2930,2724
2005-06,2797,2572
2005-07,2888,2854
2005-08,2805,2356
2005-09,2432,2548
2005-10,3301,2807
2005-11,3353,2470
2005-12,3768,2238
2006-01,3418,1774
2006-02,3068,1852
2006-03,3209,2045
2006-04,2805,2528
2006-05,1939,2744
2006-06,2376,2678
2006-07,1868,3121
2006-08,2298,2263
2006-09,2335,2936
2006-10,3111,3193
2006-11,3424,2882
2006-12,3952,3084
2007-01,4115,3187
2007-02,3550,2843
2007-03,3932,3246
2007-04,3184,3199
2007-05,2275,3048
2007-06,1717,3186
2007-07,1530,3733
2007-08,1896,2892
2007-09,2440,3031
2007-10,2959,3130
2007-11,3355,2536
2007-12,3865,2849
2008-01,3803,2726
2008-02,3474,2586
2008-03,3451,2651
2008-04,2930,2354
2008-05,1990,2964
2008-06,1496,2643
2008-07,1365,3248
2008-08,1970,2465
2008-09,1551,3208
2008-10,2903,2622
2008-11,3022,2577
2008-12,3646,2692
2009-01,3622,2640
2009-02,3410,2426
2009-03,3328,2602
2009-04,2070,2705
2009-05,1453,3050
2009-06,1703,3239
2009-07,1388,3699
2009-08,1790,2792
2009-09,2601,2863
2009-10,2978,2607
2009-11,3319,2321
2009-12,3706,2581
2010-01,3394,2567
2010-02,3344,2508
2010-03,3735,2756
2010-04,2977,2560
2010-05,2030,2729
2010-06,1833,2864
2010-07,1971,3506
2010-08,2093,2556
2010-09,2628,2542
2010-10,3066,3031
2010-11,3163,2633
2010-12,3167,2629
2011-01,3682,2733
2011-02,3733,2743
2011-03,3726,2526
2011-04,2758,2494
2011-05,2143,2421
2011-06,2265,2489
2011-07,2124,3135
2011-08,2181,2098
2011-09,1852,2495
2011-10,3028,3135
2011-11,3532,2988
2011-12,3800,2980
2012-01,3616,2900
2012-02,3585,2661
2012-03,3777,2883
2012-04,2749,2507
2012-05,1537,2906
2012-06,1680,2948
2012-07,1269,3434
2012-08,1498,2406
2012-09,2540,2621
2012-10,3280,3121
2012-11,3041,2884
2012-12,2977,2478
2013-01,3240,2834
2013-02,3271,2922
2013-03,3268,2399
2013-04,2362,2182
2013-05,1826,2837
2013-06,1691,2566
2013-07,1601,3146
2013-08,1540,2646
2013-09,2345,2048
2013-10,2536,2823
2013-11,2862,3052
2013-12,3332,2815
2014-01,3525,2636
2014-02,3360,2816
2014-03,3248,3151
2014-04,1818,2344
2014-05,1531,2730
2014-06,1596,2657
2014-07,1480,3409
2014-08,1532,2539
2014-09,2064,2500
2014-10,2614,3046
2014-11,2708,3161
2014-12,3054,3032
2015-01,3799,3437
2015-02,3432,3045
2015-03,3381,2742
2015-04,2624,2592
2015-05,1176,2747
2015-06,1475,2987
2015-07,1848,3406
2015-08,2229,2152
2015-09,2683,2446
2015-10,3377,3104
2015-11,3815,3321
2015-12,4194,3089
2016-01,4110,2728
2016-02,3817,2924
2016-03,3853,2953
2016-04,2299,2543
2016-05,1608,2449
2016-06,1326,2819
2016-07,1728,3489
2016-08,2405,2480
2016-09,2662,2500
2016-10,3142,1644
2016-11,3671,1834
2016-12,3475,1810
2017-01,3832,2002
2017-02,4100,1939
2017-03,3632,2869
2017-04,2401,2145
2017-05,1953,2520
2017-06,1808,2759
2017-07,2078,3300
2017-08,1825,2730
2017-09,2564,2313
2017-10,3831,2626
2017-11,4022,2701
2017-12,4450,3042
2018-01,3734,2782
2018-02,3788,3202
2018-03,3708,2462
2018-04,2166,2457
2018-05,1075,3042
2018-06,1118,2788
2018-07,1614,3333
2018-08,1548,2736
2018-09,2168,2039
2018-10,3679,2731
2018-11,2926,2263
2018-12,3496,2772
2019-01,3520,2953
2019-02,3404,2531
2019-03,3340,2562
2019-04,2248,2430
2019-05,2055,2419
2019-06,1724,2913
2019-07,1210,3943
2019-08,1185,3691
2019-09,2154,2886
2019-10,2765,3480
2019-11,2876,3144
2019-12,3024,2813
2020-01,3259,3076
2020-02,3232,2973
2020-03,2570,2709
2020-04,1764,2285
2020-05,1607,2696
2020-06,1254,2522
2020-07,1587,2990
2020-08,1482,2574
2020-09,1582,2547
2020-10,2422,2837
2020-11,2877,2839
2020-12,3352,2500
2021-01,3258,2648
2021-02,2876,2508
2021-03,2954,2592
2021-04,2330,2042
2021-05,1950,2001
2021-06,1675,2718
2021-07,1730,3394
2021-08,1958,3067
2021-09,2531,2247
2021-10,3457,2102
2021-11,3433,1871
2021-12,3380,1929
2022-01,3395,2271
2022-02,3631,2346
2022-03,3566,2522
2022-04,2495,2251
2022-05,2062,2645
2022-06,2238,2373
2022-07,2228,3130
2022-08,1960,2623
2022-09,2338,2521
2022-10,2539,2502
2022-11,3382,2410
2022-12,3283,2140
2023-01,3396,2826
2023-02,3320,2674
2023-03,2684,2410
2023-04,2423,2344
2023-05,1962,2459
2023-06,1484,2894
2023-07,1545,3497
2023-08,1393,3021
2023-09,1387,2962
2023-10,2234,2931
2023-11,2525,3043
2023-12,3109,2795
2024-01,2966,3209
